	modelname		description		price		condition		brand	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 12 Mini'	, 	'거의 새 거예요. 사용감 없어요!'	, 	710000	, 	'S'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Zenfone 9'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	470000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Velvet'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	280000	, 	'B'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto G Power'	, 	'거의 새 거예요. 사용감 없어요!'	, 	370000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo X80 Pro'	, 	'거의 새 거예요. 사용감 없어요!'	, 	600000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus 9 Pro'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	1120000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy Z Fold5'	, 	'거의 새 거예요. 사용감 없어요!'	, 	1200000	, 	'S'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy S21'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1010000	, 	'A'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Zenfone 9'	, 	'사용감 거의 없고 상태 좋아요.'	, 	670000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Redmi Note 12'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	680000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo A76'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	830000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Wing'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	570000	, 	'C'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 5 III'	, 	'사용감 거의 없고 상태 좋아요.'	, 	790000	, 	'A'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Wing'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	920000	, 	'C'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy S23'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	410000	, 	'C'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto Edge 30'	, 	'사용감 거의 없고 상태 좋아요.'	, 	830000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Reno 8'	, 	'거의 새 거예요. 사용감 없어요!'	, 	830000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto G Power'	, 	'사용감 거의 없고 상태 좋아요.'	, 	460000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo A76'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	660000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy S21'	, 	'거의 새 거예요. 사용감 없어요!'	, 	1130000	, 	'S'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG G8 ThinQ'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1050000	, 	'C'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus 11'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1160000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme 10'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1170000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor 70'	, 	'거의 새 거예요. 사용감 없어요!'	, 	790000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Mi 11 Lite'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	730000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme Narzo 50'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	870000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme 10'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	990000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme 10'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	830000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Razr 2022'	, 	'거의 새 거예요. 사용감 없어요!'	, 	790000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy S21'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1050000	, 	'A'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo V23'	, 	'거의 새 거예요. 사용감 없어요!'	, 	970000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor 70'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	840000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor 70'	, 	'사용감 거의 없고 상태 좋아요.'	, 	290000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor 70'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	910000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Poco F5'	, 	'거의 새 거예요. 사용감 없어요!'	, 	360000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG G8 ThinQ'	, 	'거의 새 거예요. 사용감 없어요!'	, 	1020000	, 	'S'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 1 V'	, 	'사용감 거의 없고 상태 좋아요.'	, 	430000	, 	'A'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Blade V40'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	850000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor Magic4'	, 	'사용감 거의 없고 상태 좋아요.'	, 	490000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 13'	, 	'거의 새 거예요. 사용감 없어요!'	, 	350000	, 	'S'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor Magic4'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	520000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Mi 11 Lite'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1050000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo Y21'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	780000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Nokia 5.4'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1150000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Find X5'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	930000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Axon 40'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	890000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ROG Phone 7'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	400000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme Narzo 50'	, 	'사용감 거의 없고 상태 좋아요.'	, 	560000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Zenfone 9'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	260000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 5 III'	, 	'거의 새 거예요. 사용감 없어요!'	, 	710000	, 	'S'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus 9 Pro'	, 	'사용감 거의 없고 상태 좋아요.'	, 	270000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy S21'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	480000	, 	'C'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy S21'	, 	'거의 새 거예요. 사용감 없어요!'	, 	630000	, 	'S'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo V23'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	1020000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Blade V40'	, 	'사용감 거의 없고 상태 좋아요.'	, 	950000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ROG Phone 7'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	230000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 1 V'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	500000	, 	'B'	, 	'Sony'	);
